name,max,color
Master Building Academy,2225,Black
Matoran of Light,19,Dark Bluish Gray
Matoran of Mahri Nui,53,Black
Matoran of Mata Nui,61,Black
Matoran of Metru Nui,66,Dark Bluish Gray
Matoran of Voya Nui,34,Black
Mindstorms,836,Black
Minecraft,2303,Light Bluish Gray
Mini,29,Red
Mini,377,Light Bluish Gray
Mini,708,Light Bluish Gray
Minifig Pack,4,Black
Minitalia,691,Red
Mission Deep Freeze,609,Black
Mission Deep Sea,548,Black
Mistika,92,Black
Model,2910,Black
Model,1121,Black
Model Team,3246,Light Gray
Modular Buildings,6828,Light Bluish Gray
Monster Fighters,1526,Light Bluish Gray
Monthly Mini Model Build,504,White
Mosaic,4952,White
Mosaic,21,White
My Own Creation,317,Light Gray
My Own Creation,211,Black
My Own Train,1728,Black
Nexo Knights,2198,Black
Ninja,917,Black
Ninjago,9441,Black
NXT,171,Black
NXT,669,Black
Off-Road,149,Black
Off-Road,5595,Black
Off-Road,150,Black
Order of the Phoenix,266,Light Bluish Gray
Orient Expedition,564,Black
Other,2928,Light Bluish Gray
Outback,126,Light Gray
Paradisa,1008,White
Phantoka,82,Black
Pharaoh's Quest,409,Tan
Pick A Model,132,Black
Piraka,64,Black
Pirates,34,Reddish Brown
Pirates,20,Chrome Gold
Pirates,126,Reddish Brown
Pirates,83,Black
Pirates,1096,Black
Pirates I,2730,Black
Pirates II,657,Black
Pirates III,474,Black
Pirates of the Caribbean,1859,Black
Planet Series 2,64,Light Bluish Gray
Planet Series 3,87,Black
Planet Series 4,42,Black
Playhouse,582,White
Playsets,1290,Black
Police,40,White
Police,4244,White
Police,2333,White
Police,268,Black
Police,357,Black
Police,63,Black
Police,408,White
Police,52,Blue
Post Office,6,Blue
Post Office,6,White
Post Office,113,Red
Power Functions,19,Light Bluish Gray
Power Miners,990,Black
Power Racers,2871,Black
Prince of Persia,370,Dark Bluish Gray
Prisoner of Azkaban,436,Light Bluish Gray
Promotional,416,White
Protectors,97,Black
Race,4129,Black
Race,1476,White
Race,331,Black
Race,120,Black
Racers,154,Black
Radio Control,893,Black
Rahaga,44,Black
Rahi,897,Black
Rahkshi,198,Dark Gray
Raiders of the Lost Ark,359,Dark Bluish Gray
RC Train,124,Dark Bluish Gray
RC Train,2395,Black
RCX,1404,Light Gray
RCX,1299,Light Gray
Recreation,428,White
Recreation,372,White
Recreation,250,Light Bluish Gray
Res-Q,519,Black
Riding Cycle,2099,Black
Riding Cycle,170,Light Bluish Gray
RoboForce,473,Black
RoboRiders,756,Black
Robot,352,Black
Robot,78,White
Rock Raiders,317,Black
Royal Knights,476,Light Gray
Scala,29,White
Scooby-Doo,284,Light Bluish Gray
Sculptures,8917,White
Seasonal,238,White
Series 1,97,Black
Series 1 Minifigures,31,Black
Series 10 Minifigures,26,Black
